days.origin	days.water	days.manure	F07	F08	F09	F10	F11	F12	GW01	GW02	GW03	GW04	GW05	GW06	GWL01	GWL02	GWL03	GWL04	GWo01	GWo02	mean.F	sd.F	se.F	mean.GW	sd.GW	se.GW	mean.GWL	sd.GWL	se.GWL
7.25	-0.835417	-20.788194	   NA	-6.8038	-1.5108	1.9735	-3.7587	-2.8096	0.4050	-2.2845	-2.7368	-1.7602	-2.8820	-2.7003	4.1795	0.0400	-2.6770	-2.7962	-1.6482	-0.9365	-2.5819	3.21	1.43	-1.9931	1.24	0.51	-0.6397	2.59	1.06
7.375	-0.710417	-20.663194	   NA	-6.8206	-1.5080	1.9774	-3.7268	-2.8481	0.4458	-2.3856	-2.7926	-1.8351	-2.9246	-2.7491	4.2681	0.0125	-2.7356	-2.7961	-1.6430	-1.0659	-2.5852	3.21	1.44	-2.0402	1.28	0.52	-0.6600	2.64	1.08
7.5	-0.585417	-20.538194	   NA	-6.8639	-1.5077	1.9595	-3.7227	-2.8433	0.4566	-2.4314	-2.8199	-1.8716	-2.9374	-2.7974	4.2906	-0.0642	-2.8105	-2.8570	-1.6762	-1.1633	-2.5956	3.22	1.44	-2.0669	1.30	0.53	-0.7134	2.67	1.09
7.625	-0.460417	-20.413194	   NA	-6.9316	-1.5700	1.9667	-3.7202	-2.8619	0.4567	-2.4422	-2.7978	-1.8820	-2.9543	-2.8037	4.2746	-0.1125	-2.8838	-2.9538	-1.6810	-1.2147	-2.6234	3.24	1.45	-2.0705	1.30	0.53	-0.7619	2.69	1.10
7.75	-0.335417	-20.288194	   NA	-7.0154	-1.6037	2.0236	-3.7282	-2.8701	0.4953	-2.4480	-2.7831	-1.8904	-3.0083	-2.8094	4.3264	-0.1336	-2.9571	-3.0186	-1.6708	-1.2312	-2.6388	3.29	1.47	-2.0740	1.32	0.54	-0.7808	2.73	1.11
7.875	-0.210417	-20.163194	   NA	-7.0803	-1.6025	2.0578	-3.7360	-2.8325	0.5405	-2.4543	-2.7951	-1.9094	-3.0911	-2.8186	4.4115	-0.1542	-2.9780	-3.0882	-1.4294	-1.2293	-2.6387	3.32	1.48	-2.0880	1.35	0.55	-0.7446	2.76	1.13
8	-0.085417	-20.038194	   NA	-7.1138	-1.5845	2.0291	-3.7366	-2.7612	0.6300	-2.4710	-2.8030	-1.9330	-3.2051	-2.8652	4.4691	-0.1781	-2.9450	-2.9520	-1.1716	-1.2403	-2.6334	3.32	1.49	-2.1079	1.41	0.58	-0.6696	2.74	1.12
8.085417	0	-19.952778	   NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.00	0.00	0.0000	0.00	0.00	0.0000	0.00	0.00
8.210417	0.125	-19.827778	   NA	0.4217	1.1659	0.1488	1.4005	0.3997	0.4836	0.5174	0.0248	0.0017	-0.0425	-0.0321	1.5089	13.5129	0.6299	1.0433	0.2579	0.1055	0.7073	0.54	0.24	0.1588	0.27	0.11	2.8431	5.25	2.14
8.335417	0.25	-19.702778	   NA	1.3216	2.7106	1.1910	3.4522	0.8988	1.0664	1.0347	0.0437	0.0233	-0.0218	-0.0261	5.3051	29.1091	1.4895	2.1196	0.6431	0.2189	1.9148	1.11	0.50	0.3534	0.54	0.22	6.4809	11.23	4.58
8.460417	0.375	-19.577778	   NA	2.6242	4.7171	4.3253	6.3241	1.3334	1.7163	2.6765	0.0614	0.1237	0.2558	0.0707	11.8572	56.3389	3.0140	3.2260	1.5229	0.3544	3.8648	1.93	0.86	0.8174	1.11	0.45	12.7189	21.75	8.88
8.585417	0.5	-19.452778	   NA	3.8788	6.3429	9.6294	8.9330	1.5660	2.5635	4.8393	0.1475	0.4393	1.1004	0.3326	20.0928	82.2082	4.7670	4.3207	2.7814	0.4194	6.0700	3.39	1.52	1.5704	1.83	0.75	19.0983	31.69	12.94
8.710417	0.625	-19.327778	   NA	4.8289	7.5917	16.4160	10.6613	1.6445	3.6751	8.1452	0.4340	1.1198	2.7205	0.8895	28.9379	105.4987	6.2920	5.5818	4.1846	0.4254	8.2285	5.66	2.53	2.8307	2.88	1.17	25.1534	40.64	16.59
8.835417	0.75	-19.202778	   NA	5.4624	8.6049	25.1509	11.7506	1.6722	5.1046	12.5170	0.9209	2.2026	5.0874	1.8357	38.1174	126.6396	7.1272	6.5663	5.6477	0.3793	10.5282	8.99	4.02	4.6114	4.24	1.73	30.7462	48.88	19.95
8.960417	0.875	-19.077778	   NA	5.8926	9.4822	33.9185	12.5619	1.6923	6.7942	17.3966	1.5401	3.3055	8.2025	3.1901	47.3843	147.4641	7.9624	7.4966	7.1233	0.3316	12.7095	12.53	5.60	6.7382	5.78	2.36	36.2937	57.02	23.28
9.085417	1	-18.952778	   NA	6.1552	10.0301	44.4159	12.9282	1.6887	8.6882	22.7255	2.5190	4.6838	12.2419	5.0355	56.6531	166.2554	8.7976	8.4269	8.6367	0.2792	15.0436	16.95	7.58	9.3156	7.41	3.03	41.5082	64.40	26.29
9.210417	1.125	-18.827778	   NA	6.2965	10.3994	54.9425	13.1139	1.7104	10.7421	28.5700	3.7942	6.2037	17.1479	7.1329	65.1301	183.3943	9.6328	9.3572	10.1414	0.2468	17.2925	21.48	9.61	12.2651	9.24	3.77	46.3171	71.12	29.03
9.335417	1.25	-18.702778	   NA	6.3877	10.6713	65.8823	13.2521	1.7561	12.9566	34.6946	5.2799	7.7808	22.4979	9.5036	72.3785	198.6402	10.4680	10.2876	11.6153	0.2395	19.5899	26.24	11.74	15.4522	11.17	4.56	50.6048	77.05	31.45
9.460417	1.375	-18.577778	   NA	6.4127	10.7865	76.0734	13.3583	1.7604	15.2565	40.7649	6.8963	9.3953	28.0436	12.2050	79.3054	212.1383	11.3033	11.2179	13.0552	0.2352	21.6783	30.73	13.74	18.7603	13.07	5.34	54.5425	82.30	33.60
9.585417	1.5	-18.452778	   NA	6.3777	10.9017	86.2518	13.3505	1.7241	17.5080	46.6089	8.5688	11.0842	33.8210	15.1491	85.6705	223.9072	12.1385	12.1482	14.4199	0.2034	23.7212	35.24	15.76	22.1233	14.91	6.09	58.0813	86.87	35.47
9.710417	1.625	-18.327778	   NA	6.3290	10.9927	95.6673	13.2808	1.6763	19.7384	52.2827	10.2473	12.8322	39.7403	18.3990	91.5699	234.0100	12.9737	13.0785	15.7087	0.1219	25.5892	39.43	17.63	25.5400	16.71	6.82	61.2438	90.80	37.07
9.835417	1.75	-18.202778	   NA	6.2478	11.0342	104.7703	13.2300	1.6256	21.8929	57.7855	11.9082	14.5718	45.6207	21.8605	97.1004	242.6639	13.8089	14.0088	16.8931	0.0397	27.3816	43.49	19.45	28.9399	18.47	7.54	64.0858	94.17	38.45
9.960417	1.875	-18.077778	   NA	6.1699	11.0425	113.5894	13.2021	1.6058	23.9551	62.9748	13.4813	16.2588	51.3089	25.3807	102.2090	249.9446	14.6441	14.9392	17.8382	-0.0387	29.1219	47.43	21.21	32.2266	20.16	8.23	66.5894	97.03	39.61
10.085417	2	-17.952778	   NA	6.1206	11.0107	121.8150	13.1715	1.6112	26.0067	67.8329	14.9889	17.8448	56.7075	28.8723	107.1013	255.9645	15.4793	15.8695	18.4045	-0.0925	30.7458	51.11	22.86	35.3755	21.73	8.87	68.7878	99.43	40.59
