CORE	Column	Row	Number	treatment	location	pre_translocated	newColumn	newRow	newNumber	newLabel	newOrder	code	days.origin	days.water	days.manure	cumNO	cumN2O	cumCO2	cumCH4	cumNH3	cumH2O
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	8.413194	0.327778	-19.625000	0.9172	5.1197	14.6979	-3.0218	4.2208	25.1583
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	8.538194	0.452778	-19.500000	0.9675	9.6038	15.1728	-3.0364	4.3294	25.6295
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	8.663194	0.577778	-19.375000	1.0174	15.8347	15.6527	-3.0536	4.4384	26.0978
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	8.788194	0.702778	-19.250000	1.0648	23.8306	16.1498	-3.0703	4.5532	26.5546
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	8.913194	0.827778	-19.125000	1.1098	32.5981	16.6560	-3.0848	4.6728	26.9999
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	9.038194	0.952778	-19.000000	1.1533	42.4309	17.1719	-3.0991	4.7867	27.4365
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	9.163194	1.077778	-18.875000	1.1962	52.9576	17.6940	-3.1145	4.8961	27.8649
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	9.288194	1.202778	-18.750000	1.2391	63.7386	18.2170	-3.1312	5.0031	28.2989
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	9.413194	1.327778	-18.625000	1.2832	74.2201	18.7353	-3.1481	5.1075	28.7408
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	9.538194	1.452778	-18.500000	1.3286	84.3984	19.2475	-3.1651	5.2113	29.1826
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	9.663194	1.577778	-18.375000	1.3741	94.1070	19.7638	-3.1833	5.3142	29.6266
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	9.788194	1.702778	-18.250000	1.4192	103.3251	20.2948	-3.2020	5.4169	30.0747
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	9.913194	1.827778	-18.125000	1.4631	112.2513	20.8413	-3.2202	5.5207	30.5217
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	10.038194	1.952778	-18.000000	1.5050	120.7031	21.3951	-3.2380	5.6255	30.9600
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	10.163194	2.077778	-17.875000	1.5464	128.3429	21.9493	-3.2554	5.7310	31.3976
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	10.288194	2.202778	-17.750000	1.5881	135.6076	22.5001	-3.2725	5.8369	31.8464
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	10.413194	2.327778	-17.625000	1.6308	142.4895	23.0447	-3.2904	5.9435	32.2986
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	10.538194	2.452778	-17.500000	1.6738	148.9368	23.5851	-3.3081	6.0512	32.7485
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	10.663194	2.577778	-17.375000	1.7150	154.9781	24.1284	-3.3258	6.1603	33.2027
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	10.788194	2.702778	-17.250000	1.7549	160.8333	24.6802	-3.3448	6.2707	33.6652
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	10.913194	2.827778	-17.125000	1.7930	166.1386	25.2393	-3.3653	6.3945	34.1231
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	11.038194	2.952778	-17.000000	1.8293	171.0856	25.8036	-3.3864	6.5272	34.5716
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	11.163194	3.077778	-16.875000	1.8661	176.0327	26.3684	-3.4073	6.6420	35.0244
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	11.288194	3.202778	-16.750000	1.9052	180.4034	26.9298	-3.4270	6.7513	35.4819
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	11.413194	3.327778	-16.625000	1.9446	184.4979	27.4911	-3.4452	6.8608	35.9468
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	11.538194	3.452778	-16.500000	1.9829	188.5592	28.0525	-3.4627	6.9693	36.4165
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	11.663194	3.577778	-16.375000	2.0197	192.5129	28.6094	-3.4804	7.0771	36.8884
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	11.788194	3.702778	-16.250000	2.0535	196.2117	29.1640	-3.5000	7.1855	37.3569
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	11.913194	3.827778	-16.125000	2.0837	199.7596	29.7217	-3.5195	7.2933	37.8238
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	12.038194	3.952778	-16.000000	2.1117	203.1945	30.2824	-3.5390	7.4011	38.2910
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	12.163194	4.077778	-15.875000	2.1400	206.3167	30.8419	-3.5590	7.5084	38.7585
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	12.288194	4.202778	-15.750000	2.1683	209.3686	31.4010	-3.5791	7.6156	39.2262
