CORE	Column	Row	Number	treatment	location	pre_translocated	newColumn	newRow	newNumber	newLabel	newOrder	code	days.origin	days.water	days.manure	cumNO	cumN2O	cumCO2	cumCH4	cumNH3	cumH2O
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	9.960417	1.875000	-18.077778	1.4793	115.5812	21.0498	-3.2270	5.5601	30.6901
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	10.085417	2.000000	-17.952778	1.5206	123.8068	21.6048	-3.2448	5.6652	31.1238
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	10.210417	2.125000	-17.827778	1.5620	131.0873	22.1584	-3.2619	5.7710	31.5639
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	10.335417	2.250000	-17.702778	1.6040	138.3520	22.7075	-3.2790	5.8769	32.0180
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	10.460417	2.375000	-17.577778	1.6470	144.9951	23.2493	-3.2972	5.9840	32.4689
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	10.585417	2.500000	-17.452778	1.6901	151.3269	23.7889	-3.3147	6.0920	32.9182
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	10.710417	2.625000	-17.327778	1.7301	157.1901	24.3346	-3.3324	6.2018	33.3755
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	10.835417	2.750000	-17.202778	1.7700	163.0453	24.8901	-3.3523	6.3126	33.8412
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	10.960417	2.875000	-17.077778	1.8068	168.0075	25.4521	-3.3733	6.4446	34.2932
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	11.085417	3.000000	-16.952778	1.8431	172.9545	26.0170	-3.3943	6.5733	34.7419
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	11.210417	3.125000	-16.827778	1.8806	177.7704	26.5810	-3.4149	6.6834	35.1968
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	11.335417	3.250000	-16.702778	1.9201	181.9708	27.1417	-3.4340	6.7926	35.6566
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	11.460417	3.375000	-16.577778	1.9592	186.0321	27.7032	-3.4519	6.9019	36.1238
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	11.585417	3.500000	-16.452778	1.9970	190.0690	28.2635	-3.4693	7.0101	36.5945
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	11.710417	3.625000	-16.327778	2.0329	193.9445	28.8191	-3.4875	7.1180	37.0660
CORE_01	A	A	odd	AA_odd	Fendt	NO	Fendt	A	odd	A-odd	newCORE_01	F10	11.835417	3.750000	-16.202778	2.0654	197.5663	29.3742	-3.5074	7.2263	37.5334
