days.origin	days.water	days.manure	code	NO	N2O	CO2	CH4	NH3	H2O
11.210417	3.125	-16.827778	GWL04	1.7934	-3.4280	104.4418	1.8316	35.6183	12184.5550
11.335417	3.25	-16.702778	GWL04	1.8825	5.6561	105.5859	2.1996	36.0438	12129.7714
11.460417	3.375	-16.577778	GWL04	1.7133	-3.5707	105.0995	1.4243	36.9733	13057.7046
11.585417	3.5	-16.452778	GWL04	1.6530	0.5026	105.3171	2.0407	36.5736	12802.7518
11.710417	3.625	-16.327778	GWL04	1.7690	-9.1741	105.7529	2.3409	36.1385	12349.6446
11.835417	3.75	-16.202778	GWL04	1.5806	-18.5256	106.8817	2.6021	36.3654	13112.8096
11.960417	3.875	-16.077778	GWL04	1.4827	-19.3154	108.5014	3.2011	36.4481	13039.7983
12.085417	4	-15.952778	GWL04	1.4072	22.0750	108.3953	2.6152	36.6615	12398.5003
12.210417	4.125	-15.827778	GWL04	1.5291	3.4356	107.4797	2.1776	35.7626	12947.0596
12.335417	4.25	-15.702778	GWL04	1.3310	-28.7554	107.1611	2.8187	35.0029	12471.4742
12.460417	4.375	-15.577778	GWL04	1.4774	-10.8676	107.9073	1.8492	35.2236	13063.7202
12.585417	4.5	-15.452778	GWL04	1.5804	-17.1250	107.7902	2.5879	34.9898	12193.8226
12.710417	4.625	-15.327778	GWL04	1.4394	-8.4272	107.4463	3.8793	35.3160	13123.2970
12.835417	4.75	-15.202778	GWL04	1.4302	5.1833	107.3549	3.8301	34.8768	13099.8023
12.960417	4.875	-15.077778	GWL04	1.3806	-30.0799	108.3806	3.3425	34.4081	12981.4208
13.085417	5	-14.952778	GWL04	1.2904	-11.2647	108.6957	3.9008	33.7553	12075.0725
13.210417	5.125	-14.827778	GWL04	1.1410	0.7822	110.2805	4.3047	33.7629	12824.9367
13.335417	5.25	-14.702778	GWL04	1.2346	18.4895	109.4960	4.7117	34.0023	13058.6388
13.460417	5.375	-14.577778	GWL04	1.7078	1.6363	110.0614	5.5699	33.6427	12879.7742
13.585417	5.5	-14.452778	GWL04	1.2880	-22.5459	110.1292	3.3515	33.2447	12357.1807
13.710417	5.625	-14.327778	GWL04	1.1704	-44.7135	110.0712	6.3102	33.5325	12991.3554
13.835417	5.75	-14.202778	GWL04	1.3339	-16.2286	110.9519	4.6551	33.5290	12784.1957
13.960417	5.875	-14.077778	GWL04	1.3241	-9.8971	110.6158	5.5907	32.2366	13072.7711
14.085417	6	-13.952778	GWL04	1.3384	-25.5316	111.5964	5.7330	34.0515	11938.5143
14.210417	6.125	-13.827778	GWL04	1.3164	-27.6082	112.3026	5.8552	35.1471	11038.7338
14.335417	6.25	-13.702778	GWL04	1.1362	27.4959	111.6137	5.9982	32.4503	11431.8281
