days.origin	days.water	days.manure	F07	F08	F09	F10	F11	F12	GW01	GW02	GW03	GW04	GW05	GW06	GWL01	GWL02	GWL03	GWL04	GWo01	GWo02	mean.F	sd.F	se.F	mean.GW	sd.GW	se.GW	mean.GWL	sd.GWL	se.GWL
42.163194	34.077778	14.125	NA	4.0259	3.5635	12.5762	1.069	2.0219	25.9986	24.3115	30.1408	40.0444	35.0599	35.8611	6.9856	8.7312	5.2537	3.5678	5.0875	3.6412	4.6513	4.59	2.05	31.9027	6.12	2.50	5.5445	2.00	0.82
42.288194	34.202778	14.25	NA	4.0365	3.5776	12.6131	1.0711	2.0266	26.0482	24.3598	30.1825	40.1362	35.1088	35.913	7.0096	8.7575	5.2637	3.5751	5.112	3.6563	4.6650	4.60	2.06	31.9581	6.14	2.51	5.5624	2.01	0.82
42.413194	34.327778	14.375	NA	4.0469	3.5915	12.6507	1.0734	2.0313	26.0988	24.4077	30.223	40.2406	35.1575	35.9661	7.033	8.7844	5.2737	3.5818	5.1362	3.671	4.6788	4.61	2.06	32.0156	6.15	2.51	5.5800	2.02	0.82
42.538194	34.452778	14.5	NA	4.0572	3.6055	12.687	1.0752	2.036	26.1508	24.4551	30.2624	40.3505	35.2059	36.0196	7.0562	8.8109	5.2833	3.5885	5.1603	3.6851	4.6922	4.63	2.07	32.0740	6.17	2.52	5.5974	2.02	0.83
42.663194	34.577778	14.625	NA	4.0675	3.6199	12.7213	1.077	2.0406	26.2033	24.502	30.3011	40.4597	35.2552	36.0722	7.0786	8.8369	5.2928	3.5955	5.1847	3.6991	4.7053	4.64	2.07	32.1322	6.19	2.53	5.6146	2.03	0.83
42.788194	34.702778	14.75	NA	4.0776	3.6345	12.7539	1.0794	2.0453	26.2583	24.5481	30.3391	40.5666	35.3041	36.1232	7.1006	8.8627	5.3019	3.6069	5.21	3.7135	4.7181	4.65	2.08	32.1899	6.20	2.53	5.6326	2.03	0.83
42.913194	34.827778	14.875	NA	4.0875	3.649	12.7862	1.0818	2.0505	26.312	24.5931	30.3755	40.6689	35.3507	36.173	7.1225	8.8872	5.3111	3.6186	5.2337	3.7274	4.7310	4.66	2.09	32.2455	6.22	2.54	5.6501	2.04	0.83
43.038194	34.952778	15	NA	4.0976	3.6632	12.8174	1.0838	2.0556	26.3604	24.6367	30.411	40.7657	35.3964	36.221	7.1439	8.9104	5.3203	3.626	5.2559	3.7408	4.7435	4.67	2.09	32.2985	6.23	2.54	5.6662	2.04	0.83
43.163194	35.077778	15.125	NA	4.1077	3.6773	12.8483	1.0857	2.0603	26.4078	24.6789	30.4464	40.859	35.4414	36.2673	7.1653	8.9333	5.3298	3.6333	5.2782	3.7541	4.7559	4.69	2.10	32.3501	6.25	2.55	5.6823	2.05	0.84
43.288194	35.202778	15.25	NA	4.1176	3.6913	12.8789	1.0878	2.0655	26.4548	24.7198	30.4811	40.9478	35.4861	36.3127	7.1867	8.9562	5.3395	3.6403	5.2996	3.7669	4.7682	4.70	2.10	32.4004	6.26	2.56	5.6982	2.05	0.84
43.413194	35.327778	15.375	NA	4.1275	3.7054	12.9098	1.0901	2.0709	26.5014	24.7601	30.5149	41.0325	35.531	36.3589	7.208	8.9786	5.3498	3.6469	5.3201	3.7795	4.7807	4.71	2.11	32.4498	6.27	2.56	5.7138	2.06	0.84
43.538194	35.452778	15.5	NA	4.1372	3.7194	12.9422	1.0926	2.0761	26.5474	24.8001	30.5479	41.114	35.5764	36.4061	7.2293	9.0007	5.3606	3.6538	5.3407	3.792	4.7935	4.72	2.11	32.4986	6.28	2.57	5.7295	2.06	0.84
43.663194	35.577778	15.625	NA	4.1465	3.7336	12.975	1.0952	2.0814	26.5925	24.8396	30.5804	41.1944	35.6226	36.4527	7.2503	9.0229	5.3715	3.6607	5.3612	3.8043	4.8063	4.73	2.12	32.5470	6.30	2.57	5.7451	2.07	0.84
