time	epoch_time	flow	exhaust	p_flow	N2O_ppb	CO2_ppm	CH4_ppb	H2O_ppm	NH3_ppb	bin_INC2	bin_INC_valve
2015-08-18 23:54:00	1439942040	374.7289	74.4757	49.1095	414.2680	400.6190	3985.8940	4284.2580	  15.0780	1-0-00-0000-0000	0001
2015-08-19 02:54:00	1439952840	374.7931	74.5088	49.1699	421.5020	400.5770	3986.5040	4253.1030	  15.3300	1-0-00-0000-0000	0001
2015-08-19 05:54:00	1439963640	374.7849	74.2516	49.1414	419.8130	400.8190	3985.3770	3325.8210	  14.2680	1-0-00-0000-0000	0001
2015-08-19 08:54:00	1439974440	374.7752	74.0488	49.1407	404.8960	401.1470	3985.4790	3315.7730	  13.8040	1-0-00-0000-0000	0001
2015-08-19 11:54:00	1439985240	374.7565	73.6599	49.1644	417.8460	401.0480	3984.5080	3327.9520	  13.8240	1-0-00-0000-0000	0001
2015-08-19 17:48:00	1440006480	374.7538	73.0699	49.1373	413.3820	400.7830	3987.0680	6668.2610	  20.5560	1-0-00-0000-0000	0001
2015-08-19 20:48:00	1440017280	374.7365	72.6474	49.1407	403.3650	400.6760	3985.2870	3962.2980	  15.1490	1-0-00-0000-0000	0001
2015-08-19 23:48:00	1440028080	374.7717	72.3251	49.1470	423.9900	400.5460	3984.3720	4379.2500	  16.0180	1-0-00-0000-0000	0001
2015-08-20 02:48:00	1440038880	374.7234	72.2984	49.1657	409.3390	400.9080	3984.8370	4054.4830	  15.0610	1-0-00-0000-0000	0001
2015-08-20 05:48:00	1440049680	374.7648	72.1340	49.1893	408.4120	400.6650	3984.8510	3445.4870	  13.3570	1-0-00-0000-0000	0001
2015-08-20 08:48:00	1440060480	374.7455	72.3654	49.1942	395.2650	400.5940	3984.0300	3317.2370	  12.9760	1-0-00-0000-0000	0001
2015-08-20 11:48:00	1440071280	374.7075	72.7196	49.1623	405.1340	400.8060	3984.7100	3488.3050	  12.8220	1-0-00-0000-0000	0001
2015-08-20 14:48:00	1440082080	374.7565	72.8356	49.1727	402.1680	400.8460	3985.5400	4243.6970	  14.1350	1-0-00-0000-0000	0001
2015-08-20 17:48:00	1440092880	374.7579	72.2088	49.1817	416.1560	400.2010	3984.7280	3239.6000	  11.9290	1-0-00-0000-0000	0001
2015-08-20 20:48:00	1440103680	374.8014	71.8240	49.1595	407.9400	400.4370	3985.3920	3311.7920	  13.1050	1-0-00-0000-0000	0001
2015-08-20 23:48:00	1440114480	374.7862	71.9357	49.1623	401.9830	401.0880	3985.3040	2439.4020	  10.9880	1-0-00-0000-0000	0001
2015-08-21 02:48:00	1440125280	374.8518	72.0832	49.1567	409.9600	400.6880	3984.5460	3443.2910	  12.1820	1-0-00-0000-0000	0001
2015-08-21 05:48:00	1440136080	374.7448	71.7719	49.1664	411.1450	400.8330	3984.7800	3934.5730	  12.8430	1-0-00-0000-0000	0001
2015-08-21 12:54:00	1440161640	374.7635	72.6646	49.1685	400.2970	400.9060	3985.4390	6418.4600	  15.0440	1-0-00-0000-0000	0001
2015-08-21 15:54:00	1440172440	374.7496	73.1550	49.1838	414.3640	401.0260	3986.3670	4158.3610	  13.1190	1-0-00-0000-0000	0001
2015-08-21 18:54:00	1440183240	374.7952	72.5104	49.1671	405.4500	400.9070	3985.8680	3745.7050	  12.3270	1-0-00-0000-0000	0001
